Date,Currency,Mean,Buy,Sell
26/01/2010,US DOLLAR,76.0989,76.0128,76.185
26/01/2010,STG POUND,123.289,123.141,123.438
26/01/2010,EURO,107.181,107.052,107.31
26/01/2010,SA RAND,9.9603,9.9101,10.0106
26/01/2010,KES/USHS,25.6838,25.6218,25.7457
26/01/2010,KES/TSHS,17.6547,17.6019,17.7076
26/01/2010,AE DIRHAM,20.7187,20.6945,20.743
26/01/2010,CAN $,71.7799,71.6781,71.8816
26/01/2010,S FRANC,72.8464,72.7452,72.9477
26/01/2010,JPY(100),84.7833,84.6924,84.8741
26/01/2010,SW KRONER,10.4661,10.4442,10.4879
26/01/2010,NOR KRONER,13.0514,13.0287,13.0742
26/01/2010,DAN KRONER,14.3947,14.3773,14.4121
26/01/2010,IND RUPEE,1.6531,1.6509,1.6554
26/01/2010,HONGKONG $,9.7946,9.7834,9.8058
26/01/2010,SINGAPORE $,54.188,54.1209,54.2551
26/01/2010,SAUDI RIYAL,20.2909,20.2663,20.3155
26/01/2010,CHINESE YUAN,11.1472,11.1341,11.1602
26/01/2010,AUSTRALIAN $,68.2873,68.2063,68.3684
27/01/2010,US DOLLAR,76.2778,76.1694,76.3861
27/01/2010,STG POUND,122.982,122.797,123.167
27/01/2010,EURO,107.273,107.118,107.427
27/01/2010,SA RAND,10.0336,10.0096,10.0577
27/01/2010,KES/USHS,25.6826,25.5806,25.7846
27/01/2010,KES/TSHS,17.6724,17.5948,17.7499
27/01/2010,AE DIRHAM,20.7669,20.7365,20.7972
27/01/2010,CAN $,71.6482,71.5355,71.761
27/01/2010,S FRANC,72.8667,72.7555,72.9779
27/01/2010,JPY(100),85.4713,85.3323,85.6103
27/01/2010,SW KRONER,10.4645,10.4435,10.4855
27/01/2010,NOR KRONER,13.0654,13.0416,13.0892
27/01/2010,DAN KRONER,14.4126,14.3911,14.434
27/01/2010,IND RUPEE,1.6487,1.6464,1.651
27/01/2010,HONGKONG $,9.8105,9.7965,9.8246
27/01/2010,SINGAPORE $,54.3098,54.163,54.4565
27/01/2010,SAUDI RIYAL,20.3399,20.3102,20.3696
27/01/2010,CHINESE YUAN,11.1731,11.1568,11.1895
27/01/2010,AUSTRALIAN $,68.7149,68.6058,68.8239
28/01/2010,US DOLLAR,76.3236,76.2194,76.4278
28/01/2010,STG POUND,123.59,123.414,123.766
28/01/2010,EURO,106.938,106.783,107.092
28/01/2010,SA RAND,10.0434,10.0177,10.069
28/01/2010,KES/USHS,25.5821,25.3834,25.7808
28/01/2010,KES/TSHS,17.6683,17.6114,17.7251
28/01/2010,AE DIRHAM,20.7796,20.7507,20.8086
28/01/2010,CAN $,71.9133,71.7962,72.0304
28/01/2010,S FRANC,72.6534,72.5444,72.7623
28/01/2010,JPY(100),84.6999,84.5833,84.8164
28/01/2010,SW KRONER,10.4651,10.4452,10.485
28/01/2010,NOR KRONER,13.0712,13.0458,13.0967
28/01/2010,DAN KRONER,14.3611,14.341,14.3813
28/01/2010,IND RUPEE,1.6493,1.647,1.6516
28/01/2010,HONGKONG $,9.8201,9.8066,9.8336
28/01/2010,SINGAPORE $,54.381,54.2796,54.4823
28/01/2010,SAUDI RIYAL,20.3522,20.3236,20.3807
28/01/2010,CHINESE YUAN,11.1798,11.1643,11.1953
28/01/2010,AUSTRALIAN $,68.6875,68.5746,68.8003
